자백,jabaek,jabaeg,chabaek,capayk
대기,daegi,daegi,taegi,tāyki
대기실,daegisil,daegisil,taegisil,tāykisil
대기업,daegieop,daegieob,taegiŏp,tāykiep
대기하다,daegihada,daegihada,taegihada,tāykihata
대나무,daenamu,daenamu,taenamu,taynamu
대농갱이,daenonggaeng-i,daenonggaeng-i,taenonggaengi,taynongkayng.i
대다수,daedasu,daedasu,taedasu,tāytaswu
대단하다,daedanhada,daedan-hada,taedanhada,tāytan.hata
대답,daedap,daedab,taedap,tāytap
대답하다,daedaphada,daedab-hada,taedaphada,tāytap.hata
대두,daedu,daedu,taedu,taytwu
대두어,daedueo,daedueo,taeduŏ,tāytwue
대략,daeryak,daelyag,taeryak,tāylyak
대량,daeryang,daelyang,taeryang,tāylyang
대령,daeryeong,daelyeong,taeryŏng,tāylyeng
대로,daero,daelo,taero,taylo
대륙,daeryuk,daelyug,taeryuk,tāylyuk
대륙밭쥐,daeryukbatjwi,daelyugbatjwi,taeryukpatchwi,tāylyukqpathqcwi
대륙송사리,daeryuksongsari,daelyugsongsali,taeryuksongsari,tāylyukqsongsali
대륙종개,daeryukjonggae,daelyugjonggae,taeryukchonggae,tāylyukqcongkay
대리인,daeriin,daeliin,taeriin,tāyliin
대리점,daerijeom,daelijeom,taerijŏm,tāylicem
대마,daema,daema,taema,tayma
대만,Daeman,Daeman,Taeman,Tayman
대만 해협,Daeman haehyeop,Daeman haehyeob,Taeman haehyŏp,Tayman hayhyep
대명사,daemyeongsa,daemyeongsa,taemyŏngsa,taymyengsa
대모,daemo,daemo,taemo,tāymo
대문,daemun,daemun,taemun,tāymun
대박,daebak,daebag,taebak,tāypak
대변,daebyeon,daebyeon,taebyŏn,tāypyen
대부분,daebubun,daebubun,taebubun,tāypupun
대북,Daebuk,Daebug,Taebuk,Taypuk
대비하다,daebihada,daebihada,taebihada,tāypihata
대사,daesa,daesa,taesa,tāysa
대사관,daesagwan,daesagwan,taesagwan,tāysakwan
대상,daesang,daesang,taesang,taysang
대상자,daesangja,daesangja,taesangja,taysangca
대서양,Daeseoyang,Daeseoyang,Taesŏyang,Tāyseyang
대성당,daeseongdang,daeseongdang,taesŏngdang,tāysengtang
대수,daesu,daesu,taesu,tāyswu
대시보드,daesibodeu,daesibodeu,taesibodŭ,taysipotu
대신,daesin,daesin,taesin,tāysin
대신하다,daesinhada,daesin-hada,taesinhada,tāysin.hata
대야,daeya,daeya,taeya,tayya
대여섯,daeyeoseot,daeyeoseos,taeyŏsŏt,tāyyeses
대역폭,daeyeokpok,daeyeogpog,taeyŏkp'ok,tayyekphok
대왕고래,daewanggorae,daewanggolae,taewanggorae,tāywangkolay
대우,dae-u,dae-u,taeu,taywu
대음순,daeeumsun,daeeumsun,taeŭmsun,tāyumswun
대응,daeeung,daeeung,taeŭng,tāyung
대응하다,daeeunghada,daeeunghada,taeŭnghada,tāyunghata
대작자,daejakja,daejagja,taejakcha,tāycakqca
대장,daejang,daejang,taejang,tāycang
대저택,daejeotaek,daejeotaeg,taejŏt'aek,taycethayk
대전,Daejeon,Daejeon,Taejŏn,Taycen
대주교,daejugyo,daejugyo,taejugyo,tāycwukyo
대중,daejung,daejung,taejung,tāycwung
대중문화,daejungmunhwa,daejungmun-hwa,taejungmunhwa,tāycwungmun.hwa
대지,daeji,daeji,taeji,tāyci
대책,daechaek,daechaeg,taech'aek,tāychayk
대천사,daecheonsa,daecheonsa,taech'ŏnsa,tāychensa
대체로,daechero,daechelo,taech'ero,tāycheylo
대추,daechu,daechu,taech'u,taychwu
대출,daechul,daechul,taech'ul,tāychwul
대충,daechung,daechung,taech'ung,tāychwung
대콴,daekwan,daekwan,taek'wan,taykhwan
대퇴,daetoe,daetoe,taet'oe,tāythoy
대포,daepo,daepo,taep'o,tāypho
대폭적,daepokjeok,daepogjeog,taep'okchŏk,tāyphokqcek
대표,daepyo,daepyo,taep'yo,tāyphyo
대표단,daepyodan,daepyodan,taep'yodan,tāyphyotan
대표적,daepyojeok,daepyojeog,taep'yojŏk,tāyphyocek
대프리카,Daepeurika,Daepeulika,Taep'ŭrik'a,Tayphulikha
대학,daehak,daehag,taehak,tāyhak
대학교,daehakgyo,daehaggyo,taehakkyo,tāyhakqkyo
대학생,daehaksaeng,daehagsaeng,taehaksaeng,tāyhakqsayng
대학원,daehagwon,daehag-won,taehagwŏn,tāyhak.wen
대학원생,daehagwonsaeng,daehag-wonsaeng,taehagwŏnsaeng,tayhak.wensayng
대합실,daehapsil,daehabsil,taehapsil,tāyhapqsil
대형,daehyeong,daehyeong,taehyŏng,tāyhyeng
대화,daehwa,daehwa,taehwa,tāyhwa
대회,daehoe,daehoe,taehoe,tāyhoy
댄스,daenseu,daenseu,taensŭ,taynsu
댈러스,Daelleoseu,Daelleoseu,Taellŏsŭ,Tayllesu
댕기흰죽지,daenggihuinjukji,daenggihuinjugji,taenggihŭinjukchi,tayngkihuyncwukqci
더구나,deoguna,deoguna,tŏguna,tekwuna
더듬다,deodeumda,deodeumda,tŏdŭmta,tetumqta
더듬이,deodeumi,deodeum-i,tŏdŭmi,tetum.i
더듬이다리,deodeumidari,deodeum-idali,tŏdŭmidari,tetum.itali
더러워지다,deoreowojida,deoleowojida,tŏrŏwŏjida,tēlewecita
더럽다,deoreopda,deoleobda,tŏrŏpta,tēlepqta
더불다,deobulda,deobulda,tŏbulda,tepulta
더불어,deobureo,deobul-eo,tŏburŏ,tepul.e
더브늄,deobeunyum,deobeunyum,tŏbŭnyum,tepunyum
더블린,Deobeullin,Deobeullin,Tŏbŭllin,Tepullin
더빙,deobing,deobing,tŏbing,teping
더욱,deouk,deoug,tŏuk,tewuk
더욱이,deougi,deoug-i,tŏugi,tewuk.i
더위,deowi,deowi,tŏwi,tewi
더하다,deohada,deohada,tŏhada,tehata
덕분,deokbun,deogbun,tŏkpun,tekqpun
덕천,Deokcheon,Deogcheon,Tŏkch'ŏn,Tekchen
덕택,deoktaek,deogtaeg,tŏkt'aek,tekthayk
덕트,deokteu,deogteu,tŏkt'ŭ,tekthu
던데,deonde,deonde,tŏnde,tentey
던지다,deonjida,deonjida,tŏnjida,tencita
던지럽다,deonjireopda,deonjileobda,tŏnjirŏpta,tēncilepqta
덜다,deolda,deolda,tŏlda,tēlta
덤불해오라기,deombulhae-oragi,deombul-hae-olagi,tŏmburhaeoragi,tempul.hayolaki
덥다,deopda,deobda,tŏpta,tēpqta
덧글,deotgeul,deosgeul,tŏtkŭl,tesqkul
덧붙다,deotbutda,deosbutda,tŏtputta,tesqputhqta
덧붙이다,deotbuchida,deosbut-ida,tŏtpuchida,tesqputh.ita
덧셈,deotsem,deossem,tŏssem,tesqseym
덩어리,deong-eori,deong-eoli,tŏngŏri,teng.eli
덮다,deopda,deopda,tŏpta,tephqta
덮밥,deopbap,deopbab,tŏppap,tephqpap
덮이다,deopida,deop-ida,tŏp'ida,teph.ita
데리다,derida,delida,terida,teylita
데메테르,demetereu,demeteleu,temet'erŭ,teymeytheylu
데모,demo,demo,temo,teymo
데바나가리,debanagari,debanagali,tebanagari,teypanakali
데뷔,debwi,debwi,tebwi,teypwi
데이터,deiteo,deiteo,teit'ŏ,teyithe
데이터베이스,deiteobeiseu,deiteobeiseu,teit'ŏbeisŭ,teyithepeyisu
데이트,deiteu,deiteu,teit'ŭ,teyithu
데이트하다,deiteuhada,deiteuhada,teit'ŭhada,teyithuhata
덱스트린,dekseuteurin,degseuteulin,teksŭt'ŭrin,teykqsuthulin
덴마크,Denmakeu,Denmakeu,Tenmak'ŭ,Teynmakhu
덴마크어,Denmakeueo,Denmakeueo,Tenmak'ŭŏ,Teynmakhue
덴푸라,denpura,denpula,tenp'ura,teynphula
델리,delli,delli,telli,teylli
도가니,dogani,dogani,togani,tokani
도검,dogeom,dogeom,togŏm,tokem
도교,dogyo,dogyo,togyo,tōkyo
도구,dogu,dogu,togu,tōkwu
도금,dogeum,dogeum,togŭm,tōkum
도기,dogi,dogi,togi,toki
도깨비,dokkaebi,dokkaebi,tokkaebi,tokkaypi
도꾜,dokkyo,dokkyo,tokkyo,tokkyo
도넛,doneot,doneos,tonŏt,tones
도다리,dodari,dodali,todari,totali
도달,dodal,dodal,todal,tōtal
도달하다,dodalhada,dodal-hada,todarhada,tōtal.hata
도대체,dodaeche,dodaeche,todaech'e,totaychey
도도마,Dodoma,Dodoma,Todoma,Totoma
도둑,doduk,dodug,toduk,totwuk
도라지,doraji,dolaji,toraji,tolaci
도로,doro,dolo,toro,tōlo
도롱뇽,dorongnyong,dolongnyong,torongnyong,tolongnyong
도료,doryo,dolyo,toryo,tolyo
도마,doma,doma,toma,toma
도마뱀,domabaem,domabaem,tomabaem,tomapaym
도망,domang,domang,tomang,tomang
도망치다,domangchida,domangchida,tomangch'ida,tomangchita
도메인,domein,domein,tomein,tomeyin
도미니카,Dominika,Dominika,Tominik'a,Tominikha
도미니카 공화국,Dominika gonghwaguk,Dominika gonghwagug,Tominik'a konghwaguk,Tominikha konghwakwuk
도박,dobak,dobag,tobak,topak
도살장,dosaljang,dosaljang,tosalchang,tosalqcang
도서관,doseogwan,doseogwan,tosŏgwan,tosekwan
도시,dosi,dosi,tosi,tosi
도시락,dosirak,dosilag,tosirak,tosilak
도안,doan,doan,toan,toan
도예,doye,doye,toye,toyey
도와주다,dowajuda,dowajuda,towajuda,towacwuta
도우미,doumi,doumi,toumi,towumi
도움,doum,doum,toum,towum
도움말,doummal,doummal,toummal,towummal
도이췰란드,Doichwillandeu,Doichwillandeu,Toich'willandŭ,Toichwillantu
도입,doip,doib,toip,tōip
도자기,dojagi,dojagi,tojagi,tocaki
도작,dojak,dojag,tojak,tocak
도장,dojang,dojang,tojang,tocang
도저히,dojeohi,dojeohi,tojŏhi,tōcehi
도적,dojeok,dojeog,tojŏk,tocek
도중,dojung,dojung,tojung,tōcwung
도착하다,dochakhada,dochag-hada,toch'akhada,tōchak.hata
도쿄,Dokyo,Dokyo,Tok'yo,Tokhyo
도파민,dopamin,dopamin,top'amin,tophamin
도표,dopyo,dopyo,top'yo,tophyo
도하,Doha,Doha,Toha,Toha
도화뱅어,dohwabaeng-eo,dohwabaeng-eo,tohwabaengŏ,tohwapayng.e
독극물,dokgeungmul,doggeugmul,tokkŭngmul,tokqkukmul
독도,Dokdo,Dogdo,Tokto,Tokqto
독립,dongnip,doglib,tongnip,toklip
독립성,dongnipseong,doglibseong,tongnipsŏng,toklipqseng
독물,dongmul,dogmul,tongmul,tokmul
독사,doksa,dogsa,toksa,tokqsa
독살,doksal,dogsal,toksal,tokqsal
독서,dokseo,dogseo,toksŏ,tokqse
독서실,dokseosil,dogseosil,toksŏsil,tokqsesil
독소,dokso,dogso,tokso,tokqso
독신,doksin,dogsin,toksin,tokqsin
독신자,doksinja,dogsinja,toksinja,tokqsinca
독어,dogeo,dog-eo,togŏ,tok.e
독일,Dogil,Dog-il,Togil,Tok.il
독일어,dogireo,dog-il-eo,togirŏ,tok.il.e
독재,dokjae,dogjae,tokchae,tokqcay
독재자,dokjaeja,dogjaeja,tokchaeja,tokqcayca
독특하다,dokteukhada,dogteug-hada,tokt'ŭkhada,tokthuk.hata
돈가스,don-gaseu,dongaseu,ton'gasŭ,tonkasu
돈까스,donkkaseu,donkkaseu,tonkkasŭ,tonkkasu
돋다,dotda,dodda,totta,totqta
돋보기,dotbogi,dodbogi,totpogi,totqpoki
돋우다,doduda,dod-uda,toduda,tot.wuta
돌가자미,dolgajami,dolgajami,tolgajami,tolkacami
돌격,dolgyeok,dolgyeog,tolgyŏk,tolkyek
돌고기,dolgogi,dolgogi,tolgogi,tolkoki
돌고래,dolgorae,dolgolae,tolgorae,tolkolay
돌다,dolda,dolda,tolda,tōlta
돌려주다,dollyeojuda,dollyeojuda,tollyŏjuda,tollyecwuta
돌마자,dolmaja,dolmaja,tolmaja,tolmaca
돌멩이,dolmeng-i,dolmeng-i,tolmengi,tōlmeyng.i
돌보다,dolboda,dolboda,tolboda,tōlpota
돌상어,dolsang-eo,dolsang-eo,tolsangŏ,tolsang.e
돌솥,dolsot,dolsot,tolsot,tōlsoth
돌아가다,doragada,dol-agada,toragada,tol.akata
돌아가시다,doragasida,dol-agasida,toragasida,tol.akasita
돌아다니다,doradanida,dol-adanida,toradanida,tol.atanita
돌아보다,doraboda,dol-aboda,toraboda,tol.apota
돌아서다,doraseoda,dol-aseoda,torasŏda,tol.aseta
돌아오다,doraoda,dol-aoda,toraoda,tol.aota
돌이키다,dorikida,dol-ikida,torik'ida,tol.ikhita
돌잔치,doljanchi,doljanchi,toljanch'i,tolcanchi
돕다,dopda,dobda,topta,tōpqta
돗자리,dotjari,dosjali,totchari,tosqcali
동갑,donggap,donggab,tonggap,tongkap
동거,donggeo,donggeo,tonggŏ,tongke
동경,donggyeong,donggyeong,tonggyŏng,tongkyeng
동공,donggong,donggong,tonggong,tōngkong
동굴,donggul,donggul,tonggul,tōngkwul
동그라미,donggeurami,donggeulami,tonggŭrami,tongkulami
동글다,donggeulda,donggeulda,tonggŭlda,tongkulta
동기,donggi,donggi,tonggi,tongki
동남,dongnam,dongnam,tongnam,tongnam
동남아시아,Dongnamasia,Dongnam-asia,Tongnamasia,Tongnam.asia
동네,dongne,dongne,tongne,tōngney
동등하다,dongdeunghada,dongdeunghada,tongdŭnghada,tongtunghata
동력,dongnyeok,donglyeog,tongnyŏk,tōnglyek
동료,dongnyo,donglyo,tongnyo,tonglyo
동맥,dongmaek,dongmaeg,tongmaek,tōngmayk
동맹,dongmaeng,dongmaeng,tongmaeng,tongmayng
동무,dongmu,dongmu,tongmu,tongmu
동물,dongmul,dongmul,tongmul,tōngmul
동물원,dongmurwon,dongmul-won,tongmurwŏn,tōngmul.wen
동방,dongbang,dongbang,tongbang,tongpang
동방종개,dongbangjonggae,dongbangjonggae,tongbangjonggae,tongpangcongkay
동버들개,dongbeodeulgae,dongbeodeulgae,tongbŏdŭlgae,tongpetulkay
동사리,dongsari,dongsali,tongsari,tongsali
동생,dongsaeng,dongsaeng,tongsaeng,tongsayng
동성애,dongseong-ae,dongseong-ae,tongsŏngae,tongseng.ay
동시,dongsi,dongsi,tongsi,tōngsi
동안,dong-an,dong-an,tongan,tong.an
동양,Dong-yang,Dong-yang,Tongyang,Tong.yang
동의,dong-ui,dong-ui,tongŭi,tong.uy
동의어,dong-uieo,dong-uieo,tongŭiŏ,tong.uye
동의하다,dong-uihada,dong-uihada,tongŭihada,tong.uyhata
동이,dong-i,dong-i,tongi,tong.i
동일,dong-il,dong-il,tongil,tong.il
동일하다,dong-ilhada,dong-il-hada,tongirhada,tong.il.hata
동자개,dongjagae,dongjagae,tongjagae,tongcakay
동작,dongjak,dongjag,tongjak,tōngcak
동전,dongjeon,dongjeon,tongjŏn,tongcen
동정,dongjeong,dongjeong,tongjŏng,tongceng
동지,dongji,dongji,tongji,tongci
동쪽,dongjjok,dongjjog,tongtchok,tongccok
동창,dongchang,dongchang,tongch'ang,tongchang
동티모르,Dongtimoreu,Dongtimoleu,Tongt'imorŭ,Tongthimolu
동포,dongpo,dongpo,tongp'o,tongpho
동해,Donghae,Donghae,Tonghae,Tonghay
동행,donghaeng,donghaeng,tonghaeng,tonghayng
동화,donghwa,donghwa,tonghwa,tōnghwa
돛대,dotdae,dochdae,tottae,tochqtay
돼지,dwaeji,dwaeji,twaeji,twāyci
돼지고기,dwaejigogi,dwaejigogi,twaejigogi,twāycikoki
돼지꿈,dwaejikkum,dwaejikkum,twaejikkum,twāycikkwum
되게,doege,doege,toege,tōykey
되뇌다,doenoeda,doenoeda,toenoeda,toynoyta
되다,doeda,doeda,toeda,toyta
되돌리다,doedollida,doedollida,toedollida,toytollita
되찾다,doechatda,doechajda,toech'atta,toychacqta
되풀이,doepuri,doepul-i,toep'uri,toyphul.i
되풀이하다,doepurihada,doepul-ihada,toep'urihada,toyphul.ihata
된소리,doensori,doensoli,toensori,tōynsoli
된장,doenjang,doenjang,toenjang,tōyncang
된장녀,doenjangnyeo,doenjangnyeo,toenjangnyŏ,tōyncangnye
된장찌개,doenjangjjigae,doenjangjjigae,toenjangtchigae,tōyncangccikay
됨됨,doemdoem,doemdoem,toemdoem,toymtoym
됨됨이,doemdoemi,doemdoem-i,toemdoemi,toymtoym.i
됭경모치,doenggyeongmochi,doenggyeongmochi,toenggyŏngmoch'i,toyngkyengmochi
두개골,dugaegol,dugaegol,tugaegol,twukaykol
두건,dugeon,dugeon,tugŏn,twuken
두견,dugyeon,dugyeon,tugyŏn,twukyen
두견새,dugyeonsae,dugyeonsae,tugyŏnsae,twukyensay
두근거리다,dugeun-georida,dugeungeolida,tugŭn'gŏrida,twukunkelita
두근두근,dugeundugeun,dugeundugeun,tugŭndugŭn,twukuntwukun
두꺼비,dukkeobi,dukkeobi,tukkŏbi,twukkepi
두껍다,dukkeopda,dukkeobda,tukkŏpta,twukkepqta
두뇌,dunoe,dunoe,tunoe,twunoy
두다,duda,duda,tuda,twuta
두더지,dudeoji,dudeoji,tudŏji,twuteci
두덩,dudeong,dudeong,tudŏng,twuteng
두드러기,dudeureogi,dudeuleogi,tudŭrŏgi,twutuleki
두드러지다,dudeureojida,dudeuleojida,tudŭrŏjida,twutulecita
두드리다,dudeurida,dudeulida,tudŭrida,twutulita
두려움,duryeoum,dulyeoum,turyŏum,twulyewum
두려워하다,duryeowohada,dulyeowohada,turyŏwŏhada,twulyewehata
두렵다,duryeopda,dulyeobda,turyŏpta,twulyepqta
두루미,durumi,dulumi,turumi,twulwumi
두르다,dureuda,duleuda,turŭda,twuluta
두리안,durian,dulian,turian,twulian
두마,duma,duma,tuma,twuma
두만가시고기,duman-gasigogi,dumangasigogi,tuman'gasigogi,twumankasikoki
두만강자그사니,duman-gangjageusani,dumangangjageusani,tuman'gangjagŭsani,twumankangcakusani
두목,dumok,dumog,tumok,twumok
두바이,Dubai,Dubai,Tubai,Twupai
두발,dubal,dubal,tubal,twupal
두부,dubu,dubu,tubu,twupu
두샨베,Dusyanbe,Dusyanbe,Tusyanbe,Twusyanpey
두서너,duseoneo,duseoneo,tusŏnŏ,twusene
두서넛,duseoneot,duseoneos,tusŏnŏt,twusenes
두세,duse,duse,tuse,twusey
두셋,duset,duses,tuset,twuseys
두어서넛,dueoseoneot,dueoseoneos,tuŏsŏnŏt,twuesenes
두우쟁이,duujaeng-i,duujaeng-i,tuujaengi,twuwucayng.i
두줄망둑,dujulmangduk,dujulmangdug,tujulmangduk,twūcwulmangtwuk
두통,dutong,dutong,tut'ong,twuthong
둑중개,dukjunggae,dugjunggae,tukchunggae,twukqcwungkay
둔치다,dunchida,dunchida,tunch'ida,twunchita
둘러보다,dulleoboda,dulleoboda,tullŏboda,twullepota
둘러싸다,dulleossada,dulleossada,tullŏssada,twullessata
둘째,duljjae,duljjae,tultchae,twūlccay
둥간어,dungganeo,dunggan-eo,tungganŏ,twungkan.e
둥글다,dunggeulda,dunggeulda,tunggŭlda,twungkulta
둥지,dungji,dungji,tungji,twungci
뒤늦다,dwineutda,dwineujda,twinŭtta,twīnucqta
뒤따르다,dwittareuda,dwittaleuda,twittarŭda,twīttaluta
뒤떨어지다,dwitteoreojida,dwitteol-eojida,twittŏrŏjida,twīttel.ecita
뒤섞다,dwiseokda,dwiseokkda,twisŏkta,twisekkqta
뒤쥐,dwijwi,dwijwi,twijwi,twicwi
뒤지다,dwijida,dwijida,twijida,twicita
뒤집다,dwijipda,dwijibda,twijipta,twicipqta
뒤쫓다,dwijjotda,dwijjochda,twitchotta,twīccochqta
뒷간,dwitgan,dwisgan,twitkan,twīsqkan
뒷다리,dwitdari,dwisdali,twittari,twisqtali
뒷마당,dwinmadang,dwismadang,twinmadang,twīsmatang
뒷모습,dwinmoseup,dwismoseub,twinmosŭp,twīsmosup
뒹굴다,dwinggulda,dwinggulda,twinggulda,twingkwulta
뒹굴뒹굴,dwingguldwinggul,dwingguldwinggul,twingguldwinggul,twingkwultwingkwul
드디어,deudieo,deudieo,tŭdiŏ,tutie
드라마,deurama,deulama,tŭrama,tulama
드라이 클리닝,deurai keullining,deulai keullining,tŭrai k'ŭllining,tulai khullining
드라이기,deuraigi,deulaigi,tŭraigi,tulaiki
드라이브,deuraibeu,deulaibeu,tŭraibŭ,tulaipu
드라이브하다,deuraibeuhada,deulaibeuhada,tŭraibŭhada,tulaipuhata
드러나다,deureonada,deuleonada,tŭrŏnada,tulenata
드럼,deureom,deuleom,tŭrŏm,tulem
드렁허리,deureongheori,deuleongheoli,tŭrŏnghŏri,tulengheli
드레스,deureseu,deuleseu,tŭresŭ,tuleysu
드론,deuron,deulon,tŭron,tulon
드르렁드르렁,deureureongdeureureong,deuleuleongdeuleuleong,tŭrŭrŏngdŭrŭrŏng,tululengtululeng
드리다,deurida,deulida,tŭrida,tulita
드물다,deumulda,deumulda,tŭmulda,tumulta
득남,deungnam,deugnam,tŭngnam,tuknam
득녀,deungnyeo,deugnyeo,tŭngnyŏ,tuknye
득도,deukdo,deugdo,tŭkto,tukqto
득도하다,deukdohada,deugdohada,tŭktohada,tukqtohata
득점,deukjeom,deugjeom,tŭkchŏm,tukqcem
득템,deuktem,deugtem,tŭkt'em,tuktheym
들것,deulgeot,deulgeos,tŭlgŏt,tulkes
들끓다,deulkkeulta,deulkkeulhda,tŭlkkŭlt'a,tulkkulhta
들러리,deulleori,deulleoli,tŭllŏri,tulleli
들려오다,deullyeooda,deullyeooda,tŭllyŏoda,tullyeota
들르다,deulleuda,deulleuda,tŭllŭda,tulluta
들리다,deullida,deullida,tŭllida,tullita
들소,deulso,deulso,tŭlsso,tūlqso
들쇠고래,deulsoegorae,deulsoegolae,tŭlsoegorae,tulsoykolay
들어서다,deureoseoda,deul-eoseoda,tŭrŏsŏda,tul.eseta
들어오다,deureooda,deul-eooda,tŭrŏoda,tul.eota
들여다보다,deuryeodaboda,deul-yeodaboda,tŭryŏdaboda,tul.yetapota
들이다,deurida,deul-ida,tŭrida,tul.ita
들치기,deulchigi,deulchigi,tŭlch'igi,tulchiki
들키다,deulkida,deulkida,tŭlk'ida,tulkhita
들판,deulpan,deulpan,tŭlp'an,tūlphan
듯싶다,deutsipda,deussipda,tŭssipta,tusqsiphqta
듯이,deusi,deus-i,tŭsi,tus.i
듯하다,deuthada,deushada,tŭthada,tushata
등광,deunggwang,deunggwang,tŭnggwang,tungkwang
등나무,deungnamu,deungnamu,tŭngnamu,tungnamu
등대,deungdae,deungdae,tŭngdae,tungtay
등등,deungdeung,deungdeung,tŭngdŭng,tūngtung
등락,deungnak,deunglag,tŭngnak,tunglak
등록,deungnok,deunglog,tŭngnok,tunglok
등록기,deungnokgi,deungloggi,tŭngnokki,tunglokqki
등반,deungban,deungban,tŭngban,tungpan
등불,deungbul,deungbul,tŭngpul,tungqpul
등산,deungsan,deungsan,tŭngsan,tungsan
등산하다,deungsanhada,deungsan-hada,tŭngsanhada,tungsan.hata
등신,deungsin,deungsin,tŭngsin,tūngsin
등심,deungsim,deungsim,tŭngsim,tungsim
등유,deung-yu,deung-yu,tŭngyu,tung.yu
등자,deungja,deungja,tŭngja,tungca
등장,deungjang,deungjang,tŭngjang,tungcang
등장하다,deungjanghada,deungjanghada,tŭngjanghada,tungcanghata
등줄숭어,deungjulsung-eo,deungjulsung-eo,tŭngchulsungŏ,tungqcwulswung.e
등줄쥐,deungjuljwi,deungjuljwi,tŭngjuljwi,tungcwulcwi
등피,deungpi,deungpi,tŭngp'i,tungphi
등허리,deungheori,deungheoli,tŭnghŏri,tungheli
디귿,digeut,digeud,tigŭt,tikut
디스코,diseuko,diseuko,tisŭk'o,tisukho
디스크,diseukeu,diseukeu,tisŭk'ŭ,tisukhu
디스프로슘,diseupeurosyum,diseupeulosyum,tisŭp'ŭrosyum,tisuphulosyum
디스플레이,diseupeullei,diseupeullei,tisŭp'ŭllei,tisuphulleyi
디자이너,dijaineo,dijaineo,tijainŏ,ticaine
디자인,dijain,dijain,tijain,ticain
디제이,dijei,dijei,tijei,ticeyi
디지털,dijiteol,dijiteol,tijit'ŏl,ticithel
딜리,Dilli,Dilli,Tilli,Tilli
따님,ttanim,ttanim,ttanim,ttanim
따다,ttada,ttada,ttada,ttata
따뜻,ttatteut,ttatteus,ttattŭt,ttattus
따뜻하다,ttatteuthada,ttatteushada,ttattŭthada,ttattushata
따라가다,ttaragada,ttalagada,ttaragada,ttalakata
따라서,ttaraseo,ttalaseo,ttarasŏ,ttalase
따라오다,ttaraoda,ttalaoda,ttaraoda,ttalaota
따라하다,ttarahada,ttalahada,ttarahada,ttalahata
따르다,ttareuda,ttaleuda,ttarŭda,ttaluta
따름,ttareum,ttaleum,ttarŭm,ttalum
따사롭다,ttasaropda,ttasalobda,ttasaropta,ttasalopqta
따오기,ttaogi,ttaogi,ttaogi,ttaoki
따옴표,ttaompyo,ttaompyo,ttaomp'yo,ttaomphyo
따지다,ttajida,ttajida,ttajida,ttacita
딱다그르르딱다그르르하다,ttakdageureureuttakdageureureuhada,ttagdageuleuleuttagdageuleuleuhada,ttaktagŭrŭrŭttaktagŭrŭrŭhada,ttakqtakululuttakqtakululuhata
딱딱하다,ttakttakhada,ttagttag-hada,ttakttakhada,ttakttak.hata
딱지,ttakji,ttagji,ttakchi,ttakqci
딸,ttal,ttal,ttal,ttal
딸기,ttalgi,ttalgi,ttalgi,ttālki
딸꾹질,ttalkkukjil,ttalkkugjil,ttalkkukchil,ttalkkwukqcil
딸꾹질하다,ttalkkukjilhada,ttalkkugjil-hada,ttalkkukchirhada,ttalkkwukqcil.hata
딸딸이,ttalttari,ttalttal-i,ttalttari,ttalttal.i
땃쥐,ttatjwi,ttasjwi,ttatchwi,ttasqcwi
땅콩,ttangkong,ttangkong,ttangk'ong,ttangkhong
땅크,ttangkeu,ttangkeu,ttangk'ŭ,ttangkhu
땋다,ttata,ttahda,ttat'a,ttāhta
때늦다,ttaeneutda,ttaeneujda,ttaenŭtta,ttaynucqta
때때로,ttaettaero,ttaettaelo,ttaettaero,ttayttaylo
때로,ttaero,ttaelo,ttaero,ttaylo
때리다,ttaerida,ttaelida,ttaerida,ttaylita
땐스,ttaenseu,ttaenseu,ttaensŭ,ttaynsu
땔나무,ttaellamu,ttaelnamu,ttaellamu,ttāylnamu
땜납,ttaemnap,ttaemnab,ttaemnap,ttāymnap
떠나다,tteonada,tteonada,ttŏnada,ttenata
떠돌다,tteodolda,tteodolda,ttŏdolda,ttetolta
떠들다,tteodeulda,tteodeulda,ttŏdŭlda,ttētulta
떠들썩하다,tteodeulsseokhada,tteodeulsseog-hada,ttŏdŭlssŏkhada,ttetulssek.hata
떠오르다,tteooreuda,tteooleuda,ttŏorŭda,tteoluta
떠올리다,tteoollida,tteoollida,ttŏollida,tteollita
떡국,tteokguk,tteoggug,ttŏkkuk,ttekqkwuk
떡납줄갱이,tteongnapjulgaeng-i,tteognabjulgaeng-i,ttŏngnapchulgaengi,tteknapqcwulkayng.i
떡볶이,tteokbokki,tteogbokk-i,ttŏkpokki,ttekqpokk.i
떡붕어,tteokbung-eo,tteogbung-eo,ttŏkpungŏ,ttekqpung.e
떨다,tteolda,tteolda,ttŏlda,ttēlta
떨리다,tteollida,tteollida,ttŏllida,ttellita
떨어뜨리다,tteoreotteurida,tteol-eotteulida,ttŏrŏttŭrida,ttel.ettulita
떨어지다,tteoreojida,tteol-eojida,ttŏrŏjida,ttel.ecita
떫다,tteolda,tteolbda,ttŏlta,ttēlpqta
떫디떫다,tteolditteolda,tteolbditteolbda,ttŏltittŏlta,ttēlpqtittelpqta
떳떳하다,tteottteothada,tteostteoshada,ttŏttŏthada,ttestteshata
떼다,tteda,tteda,tteda,ttēyta
뗀노,ttenno,ttenno,ttenno,tteynno
뗏목,ttenmok,ttesmog,ttenmok,tteysmok
또는,ttoneun,ttoneun,ttonŭn,ttonun
